"model_num","adj.wts","weights","Estimate","Std. Error","z value","pval","varnames","aicc"
5137,0.228112479874778,0.227509030335302,-0.952767377308547,0.27074,-3.51912306016306,0.000432975821196834,"(Intercept)",323.752993006993
5137,0.228112479874778,0.227509030335302,-0.257199587569978,0.13029,-1.97405470542619,0.0483755228847778,"tmp_12",323.752993006993
5137,0.228112479874778,0.227509030335302,0.850395003382086,0.17463,4.86969594790177,0.00000111770098919376,"tmp_4",323.752993006993
5137,0.228112479874778,0.227509030335302,-0.585785810730377,0.13419,-4.36534623094401,0.0000126921561068773,"tmp_7",323.752993006993
5137,0.228112479874778,0.227509030335302,0.71355717920703,0.10992,6.49160461432887,0.0000000000849269057162348,"evp_2",323.752993006993
8493,0.771887520125222,0.769845566222469,-0.883235732713114,0.27107,-3.25833081017122,0.0011206968045258,"(Intercept)",321.314993006993
8493,0.771887520125222,0.769845566222469,0.657148637739552,0.15263,4.3055011317536,0.0000166608138761305,"tmp_4",321.314993006993
8493,0.771887520125222,0.769845566222469,-0.3496241955509,0.14693,-2.37952899714762,0.0173347791000256,"tmp_7",321.314993006993
8493,0.771887520125222,0.769845566222469,-0.533484950501211,0.21679,-2.46083744868864,0.0138613151753566,"evp_1",321.314993006993
8493,0.771887520125222,0.769845566222469,1.0471014926756,0.18752,5.58394567339801,0.0000000235122178891999,"evp_2",321.314993006993
